Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-09 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,189.12,247.04,58.96,34.56,nyiso.com,false,
2022-01-09 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,191.02,248.5,59.06,32.12,nyiso.com,false,
2022-01-09 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,189.73,247.58,58.85,31.06,nyiso.com,false,
2022-01-09 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.88,253.42,58.74,29.97,nyiso.com,false,
2022-01-09 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,189.32,245.9,59.84,30.72,nyiso.com,false,
2022-01-09 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,187.1,243.46,60.14,30.71,nyiso.com,false,
2022-01-09 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,184.39,240.19,60.79,32.03,nyiso.com,false,
2022-01-09 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,184.36,240.06,60.94,32.78,nyiso.com,false,
2022-01-09 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,183.66,240.05,60.53,33.51,nyiso.com,false,
2022-01-09 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,186.79,244.25,59.54,33.82,nyiso.com,false,
2022-01-09 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.08,255.76,57.37,33.1,nyiso.com,false,
2022-01-09 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.12,263.46,55.69,31.98,nyiso.com,false,
2022-01-09 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,208.64,270.41,55.03,31.56,nyiso.com,false,
2022-01-09 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,213.33,275.89,54.15,31.1,nyiso.com,false,
2022-01-09 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,212.88,275.05,54.46,31.26,nyiso.com,false,
2022-01-09 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,209.39,270.7,55.35,31.85,nyiso.com,false,
2022-01-09 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,210.97,272.71,54.95,31.61,nyiso.com,false,
2022-01-09 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,215.05,277.92,53.9,31.43,nyiso.com,false,
